Water Level,Optimized_Discharge,Agreed Curve Discharge,Deviation from Normal WL
11.000109211128548,1041.1953246690528,619.6133847538973,-0.9998907888714523
11.065019682201797,1085.4694115889154,646.4916007263831,-0.9349803177982032
11.075022691490252,1133.1857591987552,650.6846623096795,-0.9249773085097477
11.085004553500722,1134.7048428081473,654.8824377729846,-0.9149954464992778
11.115406174433952,1137.0737712365858,667.7511169618041,-0.8845938255660482
11.14508513111028,1196.6532016963613,680.4352876186543,-0.8549148688897201
11.345054090367707,1206.9150103112215,769.0249143689111,-0.6549459096322927
11.365282139908203,1214.2008489856194,778.2896599445558,-0.6347178600917971
11.455059509131269,1221.3352873283582,820.0818941321821,-0.544940490868731
11.474999988608477,1228.5524795217402,829.5134602606527,-0.5250000113915227
11.715083819284844,1257.487371985377,947.3249942789708,-0.2849161807151557
11.745006862912204,1263.8312521106732,962.5593959556926,-0.25499313708779603
11.750094955745336,1265.1652284781946,965.1619914670706,-0.24990504425466398
11.75535591997577,1272.4594892213854,967.856725167696,-0.24464408002423
11.775064603490426,1348.3735700373704,977.9853305762867,-0.22493539650957395
12.255051438042432,1393.384286140153,1241.0233441184919,0.25505143804243247
12.395353845952494,1450.3188210376807,1323.851759478765,0.3953538459524939
12.585122312460305,1474.9088305975283,1440.1615279424368,0.5851223124603049
12.595176030772711,1525.241946149922,1446.460754559144,0.595176030772711
12.605218108123369,1555.363440483497,1452.7664782804065,0.6052181081233687
12.615011485768335,1579.413377773897,1458.9293112825367,0.6150114857683349
12.625002755302893,1643.7886365708282,1465.2301840180373,0.6250027553028925
12.63509711160322,1691.4912251576857,1471.6099236687342,0.6350971116032191
12.825173538603003,1692.6803249462778,1594.3408868365764,0.8251735386030035
12.925077624042808,1733.1734037859942,1660.8288263952452,0.9250776240428085
12.93504592020685,1751.7310331741764,1667.5377975345175,0.93504592020685
12.945008230352839,1816.9762092492342,1674.2563183269972,0.9450082303528387
12.955065321658804,2001.5459080565167,1681.0525279115477,0.9550653216588039
12.965010728805542,2027.096280961099,1687.78687031145,0.9650107288055416
