Water Level,Discharge ($m^3$/s)
11.745006862912204,1263.8312521106732
11.474999988608477,1228.5524795217402
11.750094955745336,1265.1652284781946
11.075022691490252,1133.1857591987552
11.000109211128548,1041.1953246690528
11.75535591997577,1272.4594892213854
12.825173538603003,1692.6803249462778
11.115406174433952,1137.0737712365858
12.585122312460305,1474.9088305975283
11.345054090367707,1206.9150103112215
12.63509711160322,1691.4912251576857
12.945008230352839,1816.9762092492342
12.625002755302893,1643.7886365708282
12.925077624042808,1733.1734037859942
12.93504592020685,1751.7310331741764
11.715083819284844,1257.487371985377
12.965010728805542,2027.096280961099
11.775064603490426,1348.3735700373704
11.14508513111028,1196.6532016963613
11.065019682201797,1085.4694115889154
11.455059509131269,1221.3352873283582
12.615011485768335,1579.413377773897
12.595176030772711,1525.241946149922
12.955065321658804,2001.5459080565167
12.255051438042432,1393.384286140153
11.365282139908203,1214.2008489856194
11.085004553500722,1134.7048428081473
12.605218108123369,1555.363440483497
12.395353845952494,1450.3188210376807
